"MoveNumber","Side","Move","FEN","GameNumber"
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",179
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",180
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",181
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",182
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",183
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",184
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",185
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",186
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",187
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",188
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",189
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",190
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",191
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",192
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",193
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",194
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",195
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",196
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",197
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",198
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",199
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",200
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",201
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",202
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",203
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",204
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",205
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",206
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",207
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",208
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",209
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",210
